Plot.Myc.Legacy,Species.Myc.Type,Unit,Position,Species,Identifier.1,corrected.percent.C,corrected.percent.N,C:N,C13.corrected,N15.corrected
AM,EcM,2_9,Center,CACO,2_9 C CACO,48.49147335,2.268316732,21.37773472,-27.52485545,-0.656
AM,EcM,2_9,Center,CACO,2_9 C CACO,48.34940857,2.217935709,21.79928317,-27.35212706,-1.038
AM,EcM,2_9,Edge,CACO,2_9 E CACO,47.67970417,2.165773581,22.01509178,-28.5454987,1.722
AM,EcM,2_9,Edge,CACO,2_9 E CACO,47.03158632,2.192554108,21.45059323,-26.63152428,0.365
AM,EcM,2_9,Edge,CACO,2_9 E CACO,47.85192918,2.407291097,19.87791557,-24.79030942,-0.233
AM,AM,2_9,Center,ACRU,2_9 C ARCU,49.79847133,2.623827612,18.97932284,-32.41678814,3.106
AM,AM,2_9,Center,ACRU,2_9 C ARCU,49.45870934,2.59465439,19.06177159,-32.14323855,2.876
AM,AM,2_9,Center,ACRU,2_9 C ARCU,49.28876121,2.82052847,17.47500929,-32.23409029,2.957
AM,AM,2_9,Edge,ACRU,2_9 E ACRU,49.25469907,2.462787162,19.99957602,-32.38478712,1.849
AM,AM,2_9,Edge,ACRU,2_9 E ACRU,50.25808696,2.342061354,21.45891135,-33.69535415,1.911
AM,AM,2_9,Edge,ACRU,2_9 E ACRU,49.10917301,2.297814577,21.3721218,-32.1001652,1.996
AM,AM,2_9,Center,PRSE,2_9 C PRSE,48.95464925,4.03764372,12.12455894,-31.34460704,2.158
AM,AM,2_9,Center,PRSE,2_9 C PRSE,48.2599015,3.259596569,14.80548297,-31.69734647,2.130227303
AM,AM,2_9,Center,PRSE,2_9 C PRSE,47.92182608,3.017187383,15.8829466,-31.51101899,3.679683185
AM,AM,2_9,Center,PRSE,2_9 C PRSE,49.88707664,3.691343435,13.51461264,-31.23910881,4.170983905
AM,AM,2_9,Edge,PRSE,2_9 E PRSE,47.18475653,3.223875562,14.6360353,-32.51139652,2.658559544
AM,AM,2_9,Edge,PRSE,2_9 E PRSE,47.69134967,2.582842325,18.46467715,-31.42406692,3.090049573
AM,AM,2_9,Center,ACSA,2_9 C ACSA,48.77305296,2.538207936,19.21554664,-31.77492652,2.64248243
AM,AM,2_9,Center,ACSA,2_9 C ACSA,47.50703616,1.664060689,28.54886031,-29.9830209,1.519689257
